2B410|AER|KZN
2B410|ASF|KZN
2B410|ASF|MRV
2B410|CEK|KZN
2B410|CEK|OVB
2B410|DME|KZN
2B410|DME|NBC
2B410|DME|TGK
2B410|DME|UUA
2B410|EGO|KGD
2B410|EGO|KZN
2B410|GYD|NBC
2B410|KGD|EGO
2B410|KZN|AER
2B410|KZN|ASF
2B410|KZN|CEK
2B410|KZN|DME
2B410|KZN|EGO
2B410|KZN|LED
2B410|KZN|SVX
2B410|LED|KZN
2B410|LED|NBC
2B410|LED|UUA
2B410|MRV|ASF
2B410|NBC|DME
2B410|NBC|GYD
2B410|NBC|LED
2B410|NBC|SVX
2B410|NJC|SVX
2B410|NJC|UUA
2B410|NUX|SVX
2B410|OVB|CEK
2B410|OVB|SVX
2B410|SVX|KZN
2B410|SVX|NBC
2B410|SVX|NJC
2B410|SVX|NUX
2B410|SVX|OVB
2B410|TGK|DME
2B410|UUA|DME
2B410|UUA|LED
2B410|UUA|NJC
2G1654|BTK|IKT
2G1654|BTK|OVB
2G1654|CEK|OVB
2G1654|HTA|IKT
2G1654|IKT|BTK
2G1654|IKT|HTA
2G1654|IKT|KCK
2G1654|IKT|ODO
2G1654|IKT|OVB
2G1654|IKT|UKX
2G1654|IKT|ULK
2G1654|IKT|YKS
2G1654|KCK|IKT
2G1654|MJZ|OVB
2G1654|ODO|IKT
2G1654|OVB|BTK
2G1654|OVB|CEK
2G1654|OVB|IKT
2G1654|UKX|IKT
2G1654|ULK|IKT
2G1654|YKS|IKT
2I8359|AYP|LIM
2I8359|CUZ|LIM
2I8359|CUZ|PEM
2I8359|HUU|LIM
2I8359|IQT|PCL
2I8359|IQT|TPP
2I8359|LIM|AYP
2I8359|LIM|CUZ
2I8359|LIM|HUU
2I8359|LIM|PCL
2I8359|LIM|TPP
2I8359|PCL|IQT
2I8359|PCL|LIM
2I8359|PCL|TPP
2I8359|PEM|CUZ
2I8359|TPP|IQT
2I8359|TPP|LIM
2I8359|TPP|PCL
2J470|ABJ|BOY
2J470|ABJ|OUA
2J470|ACC|OUA
2J470|BKO|ABJ
2J470|BKO|DKR
2J470|BKO|OUA
2J470|BOY|ABJ
2J470|BOY|OUA
2J470|COO|LFW
2J470|COO|OUA
2J470|DKR|BKO
2J470|DKR|OUA
2J470|LFW|OUA
2J470|NIM|OUA
2J470|OUA|ABJ
2J470|OUA|ACC
2J470|OUA|BKO
2J470|OUA|BOY
2J470|OUA|COO
2J470|OUA|DKR
2J470|OUA|LFW
2J470|OUA|NIM
2K1338|BOG|GYE
2K1338|BOG|UIO
2K1338|CLO|GYE
2K1338|GYE|BOG
2K1338|GYE|CLO
2K1338|GYE|SCY
2K1338|GYE|UIO
2K1338|OCC|UIO
2K1338|SCY|GYE
2K1338|UIO|BOG
2K1338|UIO|GYE
2K1338|UIO|OCC
2L2750|BDS|ZRH
2L2750|BOD|ZRH
2L2750|BRS|ZRH
2L2750|GVA|LPA
2L2750|LCA|ZRH
2L2750|LPA|ZRH
2L2750|RMF|ZRH
2L2750|TFS|GVA
2L2750|ZRH|BDS
2L2750|ZRH|BOD
2L2750|ZRH|BRS
2L2750|ZRH|LCA
2L2750|ZRH|LPA
2L2750|ZRH|RMF
2N3652|AJR|LYC
